rank,objective,completion_rate,steps_mean,remaining_mean,messages_mean,radio_penalty_weight,crowd_penalty_weight,east_bonus_weight_regular,east_bonus_weight_red,scarcity_le2_bonus,scarcity_eq1_bonus
1,95.220125,1.0,95.125,0,95.125,2.967,1.695,0.567,0.414,0.885,2.074
2,95.9212,1.0,95.825,0,96.2,3.66,0.705,0.698,0.382,0.875,0.966
3,96.92155,1.0,96.825,0,96.55,2.5,1.5,0.6,0.3,0.75,1.25
4,97.62125,1.0,97.525,0,96.25,3.253,1.673,0.392,0.469,0.355,1.907
5,97.672225,1.0,97.575,0,97.225,3.722,2.163,0.453,0.65,0.338,1.703
6,98.169325,1.0,98.075,0,94.325,2.473,2.334,0.407,0.352,1.497,1.497
7,98.54425,1.0,98.45,0,94.25,2.349,2.13,0.748,0.508,0.494,1.002
8,98.91995,1.0,98.825,0,94.95,1.78,1.471,0.609,0.596,1.331,1.493
9,100.17065000000001,1.0,100.075,0,95.65,3.355,1.53,0.562,0.679,1.554,1.948
10,100.40152499999999,1.0,100.3,0,101.525,1.357,1.505,0.609,0.616,0.344,0.957
11,101.547075,1.0,101.45,0,97.075,2.757,1.497,0.293,0.404,1.25,1.56
12,101.697075,1.0,101.6,0,97.075,3.658,1.753,0.565,0.382,1.501,2.18
13,101.99532500000001,1.0,101.9,0,95.325,2.021,1.615,0.434,0.374,1.427,1.726
14,102.421625,1.0,102.325,0,96.625,3.94,2.359,0.844,0.7,0.919,0.919
15,102.495525,1.0,102.4,0,95.525,2.637,1.62,0.736,0.285,1.32,1.403
16,102.99502500000001,1.0,102.9,0,95.025,2.437,2.269,0.546,0.277,0.577,0.653
17,105.774025,1.0,105.675,0,99.025,2.554,0.551,0.38,0.177,0.268,1.727
18,107.3222,1.0,107.225,0,97.2,2.732,0.549,0.769,0.318,0.791,1.238
19,110.072075,1.0,109.975,0,97.075,2.437,0.629,0.413,0.399,0.335,1.796
20,113.653425,1.0,113.55,0,103.425,2.234,1.399,0.211,0.1,1.013,2.091
21,135.09885000000003,0.975,109.375,0.025,98.85,2.803,1.613,0.827,0.429,1.223,1.829
